1987,10,9,5,1606,1505,1708,1608,PS,1453,NA,62,63,NA,60,61,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,11,7,1505,1505,1602,1608,PS,1453,NA,57,63,NA,-6,0,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,12,1,NA,1505,NA,1608,PS,1453,NA,NA,63,NA,NA,NA,BUR,OAK,325,NA,NA,1,NA,0,NA,NA,NA,NA,NA
1987,10,13,2,1533,1505,1640,1608,PS,1453,NA,67,63,NA,32,28,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,14,3,1528,1505,1639,1608,PS,1453,NA,71,63,NA,31,23,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,15,4,1543,1505,1645,1608,PS,1453,NA,62,63,NA,37,38,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,16,5,1521,1505,1626,1608,PS,1453,NA,65,63,NA,18,16,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,19,1,1513,1505,1617,1608,PS,1453,NA,64,63,NA,9,8,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,20,2,1551,1505,1646,1608,PS,1453,NA,55,63,NA,38,46,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,21,3,1504,1505,1620,1608,PS,1453,NA,76,63,NA,12,-1,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
